C1, 45.76, 38.55, 90.00, 0.1uF, C0603
C2, 42.96, 37.78, 180.00, 0.1uF, C0603
C3, 42.95, 39.30, 180.00, 0.1uF, C0603
C4, 43.00, 40.87, 180.00, 0.1uF, C0603
C5, 42.98, 42.46, 180.00, 0.1uF, C0603
C6, 41.55, 48.91, 270.00, 1uF, C0603
C7, 37.89, 48.80, 270.00, 22pF, C0603
C8, 39.26, 48.81, 270.00, 22pF, C0603
D10, 164.31, 95.25, 270.00, , SOD-123
D11, 183.36, 95.25, 270.00, , SOD-123
D12, 202.41, 95.25, 270.00, , SOD-123
D13, 221.46, 95.25, 270.00, , SOD-123
D14, 240.51, 95.25, 270.00, , SOD-123
D15, 259.56, 95.25, 270.00, , SOD-123
D16, 16.67, 76.20, 270.00, , SOD-123
D17, 40.48, 76.20, 270.00, , SOD-123
D18, 59.53, 76.20, 270.00, , SOD-123
D19, 78.58, 76.20, 270.00, , SOD-123
D2, 11.91, 95.25, 270.00, , SOD-123
D20, 97.63, 76.20, 270.00, , SOD-123
D21, 116.68, 76.20, 270.00, , SOD-123
D22, 135.73, 76.20, 270.00, , SOD-123
D23, 154.78, 76.20, 270.00, , SOD-123
D24, 173.83, 76.20, 270.00, , SOD-123
D25, 192.88, 76.20, 270.00, , SOD-123
D26, 211.93, 76.20, 270.00, , SOD-123
D27, 230.98, 76.20, 270.00, , SOD-123
D28, 250.03, 76.20, 270.00, , SOD-123
D29, 273.84, 73.82, 270.00, , SOD-123
D3, 34.61, 92.19, 270.00, , SOD-123
D30, 269.87, 71.01, 90.00, , SOD-123
D31, 14.29, 57.15, 270.00, , SOD-123
D32, 45.24, 57.15, 270.00, , SOD-123
D33, 64.29, 57.15, 270.00, , SOD-123
D34, 83.34, 57.15, 270.00, , SOD-123
D35, 102.39, 57.15, 270.00, , SOD-123
D36, 121.44, 57.15, 270.00, , SOD-123
D37, 141.11, 57.16, 270.00, , SOD-123
D38, 159.54, 57.15, 270.00, , SOD-123
D39, 178.59, 57.15, 270.00, , SOD-123
D4, 50.01, 95.25, 270.00, , SOD-123
D40, 197.64, 57.15, 270.00, , SOD-123
D41, 216.69, 57.15, 270.00, , SOD-123
D42, 235.74, 57.15, 270.00, , SOD-123
D44, 254.79, 57.15, 270.00, , SOD-123
D45, 288.13, 57.15, 270.00, , SOD-123
D46, 278.61, 38.10, 270.00, , SOD-123
D48, 252.41, 38.10, 270.00, , SOD-123
D49, 226.22, 38.10, 270.00, , SOD-123
D5, 69.06, 95.25, 270.00, , SOD-123
D50, 207.17, 38.10, 270.00, , SOD-123
D51, 188.12, 38.10, 270.00, , SOD-123
D52, 169.07, 38.10, 270.00, , SOD-123
D53, 150.02, 38.10, 270.00, , SOD-123
D54, 130.97, 38.10, 270.00, , SOD-123
D55, 111.92, 38.10, 270.00, , SOD-123
D56, 92.87, 38.10, 270.00, , SOD-123
D57, 73.82, 38.10, 270.00, , SOD-123
D58, 54.77, 38.10, 270.00, , SOD-123
D59, 23.81, 38.10, 270.00, , SOD-123
D6, 88.11, 95.25, 270.00, , SOD-123
D60, 14.29, 19.05, 270.00, , SOD-123
D61, 38.10, 19.05, 270.00, , SOD-123
D62, 61.91, 19.05, 270.00, , SOD-123
D63, 104.78, 19.05, 270.00, , SOD-123
D64, 133.35, 19.05, 270.00, , SOD-123
D65, 185.74, 19.05, 270.00, , SOD-123
D67, 226.22, 19.05, 270.00, , SOD-123
D68, 250.03, 19.05, 270.00, , SOD-123
D69, 273.84, 19.05, 270.00, , SOD-123
D7, 107.16, 95.25, 270.00, , SOD-123
D8, 126.21, 95.25, 270.00, , SOD-123
D9, 145.26, 95.25, 270.00, , SOD-123
F1, 54.31, 82.96, 0.00, 0603L050, 0603L
FB1, 58.97, 82.87, 180.00, FERRITE_BEAD, BEADC1608X95N
