Designator,Footprint,Mid X,Mid Y,Rotation,Layer
C1,C0603,45.76,38.55,90,Bottom
C2,C0603,42.96,37.78,180,Bottom
C3,C0603,42.95,39.3,180,Bottom
C4,C0603,43,40.87,180,Bottom
C5,C0603,42.98,42.46,180,Bottom
C6,C0603,41.55,48.91,270,Bottom
C7,C0603,37.89,48.8,270,Bottom
C8,C0603,39.26,48.81,270,Bottom
D10,SOD-123,164.31,95.25,270,Bottom
D11,SOD-123,183.36,95.25,270,Bottom
D12,SOD-123,202.41,95.25,270,Bottom
D13,SOD-123,221.46,95.25,270,Bottom
D14,SOD-123,240.51,95.25,270,Bottom
D15,SOD-123,259.56,95.25,270,Bottom
D16,SOD-123,16.67,76.2,270,Bottom
D17,SOD-123,40.48,76.2,270,Bottom
D18,SOD-123,59.53,76.2,270,Bottom
D19,SOD-123,78.58,76.2,270,Bottom
D2,SOD-123,11.91,95.25,270,Bottom
D20,SOD-123,97.63,76.2,270,Bottom
D21,SOD-123,116.68,76.2,270,Bottom
D22,SOD-123,135.73,76.2,270,Bottom
D23,SOD-123,154.78,76.2,270,Bottom
D24,SOD-123,173.83,76.2,270,Bottom
D25,SOD-123,192.88,76.2,270,Bottom
D26,SOD-123,211.93,76.2,270,Bottom
D27,SOD-123,230.98,76.2,270,Bottom
D28,SOD-123,250.03,76.2,270,Bottom
D29,SOD-123,273.84,73.82,270,Bottom
D3,SOD-123,34.61,92.19,270,Bottom
D30,SOD-123,269.87,71.01,90,Bottom
D31,SOD-123,14.29,57.15,270,Bottom
D32,SOD-123,45.24,57.15,270,Bottom
D33,SOD-123,64.29,57.15,270,Bottom
D34,SOD-123,83.34,57.15,270,Bottom
D35,SOD-123,102.39,57.15,270,Bottom
D36,SOD-123,121.44,57.15,270,Bottom
D37,SOD-123,141.11,57.16,270,Bottom
D38,SOD-123,159.54,57.15,270,Bottom
D39,SOD-123,178.59,57.15,270,Bottom
D4,SOD-123,50.01,95.25,270,Bottom
D40,SOD-123,197.64,57.15,270,Bottom
D41,SOD-123,216.69,57.15,270,Bottom
D42,SOD-123,235.74,57.15,270,Bottom
D44,SOD-123,254.79,57.15,270,Bottom
D45,SOD-123,288.13,57.15,270,Bottom
D46,SOD-123,278.61,38.1,270,Bottom
D48,SOD-123,252.41,38.1,270,Bottom
D49,SOD-123,226.22,38.1,270,Bottom
D5,SOD-123,69.06,95.25,270,Bottom
D50,SOD-123,207.17,38.1,270,Bottom
D51,SOD-123,188.12,38.1,270,Bottom
D52,SOD-123,169.07,38.1,270,Bottom
D53,SOD-123,150.02,38.1,270,Bottom
D54,SOD-123,130.97,38.1,270,Bottom
D55,SOD-123,111.92,38.1,270,Bottom
D56,SOD-123,92.87,38.1,270,Bottom
D57,SOD-123,73.82,38.1,270,Bottom
D58,SOD-123,54.77,38.1,270,Bottom
D59,SOD-123,23.81,38.1,270,Bottom
